region,precision,recall,f1-score,support
abdomen,0.13041573122218286,0.04489263496330118,0.05598646589688892,823.0
bone,0.0,0.0,0.0,106.0
breast,0.019658119658119658,0.0308641975308642,0.023391812865497075,19.0
heart,0.06804095386378077,0.030540088644056742,0.04134019912566531,704.0
esophagus,0.012345679012345678,0.0012345679012345679,0.002244668911335578,189.0
lung,0.17162457417533716,0.05584843496934465,0.07951649309992986,2969.0
mediastinum,0.11158705539948605,0.04429941644837281,0.05438527907318215,1050.0
pleura,0.10183192668657785,0.02013826062880302,0.033270587633426524,649.0
thyroid,0.009259259259259259,0.002777777777777778,0.004273504273504273,25.0
trachea and bronchie,0.0,0.0,0.0,152.0
